seed,model,snapshot_time,conditioning_time,pair_family,sample_count,reference_mean,reference_median,reference_p95,reference_max,learned_mean,learned_median,learned_p95,learned_max,pair_distance_min,pair_distance_median,pair_distance_max,reference_bound,reference_bound_pass,nonfinite_events
271828,latent,2.4,0.075,sinusoidal_0.01,500,-1.5360943792797708,-1.3784176744973742,-0.7216047566246161,-0.3546813484253937,-1.2978706570863723,-1.202964425086975,-0.6368222236633301,-0.3581358790397644,0.03162271516247552,0.03162277568332261,0.031622836648243675,1.0001,True,0
271828,latent,2.4,0.15,cyclic_cross_sample,500,-0.7158847607830323,-0.7195306658946234,-0.512177714706832,-0.3356438490826271,-0.6993442215323448,-0.7029933631420135,-0.5280877411365509,-0.40169939398765564,0.06066813352424881,0.4180112479382427,0.9719061613093,1.0001,True,0
271828,latent,2.4,0.15,sinusoidal_0.001,500,-1.5360921588351681,-1.3784186718465925,-0.7213026366227566,-0.3479596693495774,-1.302167217195034,-1.2085424661636353,-0.6411111027002335,-0.346844345331192,0.0031622230402137638,0.0031622773291861183,0.00316234901314941,1.0001,True,0
271828,latent,2.4,0.15,sinusoidal_0.01,500,-1.5360943792797708,-1.3784176744973742,-0.7216047566246161,-0.3546813484253937,-1.2978706570863723,-1.202964425086975,-0.6368222236633301,-0.3581358790397644,0.03162271516247552,0.03162277568332261,0.031622836648243675,1.0001,True,0
271828,latent,4.8,0.075,cyclic_cross_sample,500,-1.044411395798041,-1.036835066507071,-0.9622850940541724,-0.9269613313040459,-0.8107416296005249,-0.8040508031845093,-0.7662452608346939,-0.7315613031387329,0.008935481060088487,0.044631795246071235,0.1398170821876279,1.0001,True,0
271828,latent,4.8,0.075,sinusoidal_0.001,500,-1.819930229654066,-1.6668741048452536,-1.0243406190776851,-0.9576090544546361,-1.3770979725122452,-1.282719612121582,-0.7152962118387225,-0.6594810485839844,0.0031621895917486775,0.00316227877323563,0.0031623420949372814,1.0001,True,0
271828,latent,4.8,0.075,sinusoidal_0.01,500,-1.8454363243829592,-1.6873620192186296,-1.023106021099938,-0.9643236065138957,-1.3707195365428924,-1.1084330081939697,-0.5849985718727112,-0.4525166153907776,0.023201559767281398,0.0300611107298462,0.03162284100730349,1.0001,True,0
271828,latent,4.8,0.15,cyclic_cross_sample,500,-1.044411395798041,-1.036835066507071,-0.9622850940541724,-0.9269613313040459,-0.8107416296005249,-0.8040508031845093,-0.7662452608346939,-0.7315613031387329,0.008935481060088487,0.044631795246071235,0.1398170821876279,1.0001,True,0
271828,latent,4.8,0.15,sinusoidal_0.001,500,-1.819930229654066,-1.6668741048452536,-1.0243406190776851,-0.9576090544546361,-1.3770979725122452,-1.282719612121582,-0.7152962118387225,-0.6594810485839844,0.0031621895917486775,0.00316227877323563,0.0031623420949372814,1.0001,True,0
271828,latent,4.8,0.15,sinusoidal_0.01,500,-1.8454363243829592,-1.6873620192186296,-1.023106021099938,-0.9643236065138957,-1.3707195365428924,-1.1084330081939697,-0.5849985718727112,-0.4525166153907776,0.023201559767281398,0.0300611107298462,0.03162284100730349,1.0001,True,0
