root,cell,scheme,budget,length,mode,seed,model,checkpoint,primary_mse,generator_grid_mse,generator_reference_mse,bound_violation,energy_monotone,stress_mse,training_seconds,epochs,selected_epoch,privileged
rate-L4,midpoint-b4-L4-initial-s161803-B,midpoint,4,4,initial,161803,B,best_rollout,4.3559406482677814e-07,4.871347093661816e-05,2.7677886014723e-06,0.0,1.0,2.82256604295092e-07,8.21765149757266,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s161803-B,midpoint,4,4,initial,161803,B,epoch120,0.007448195140785936,0.034078608600324016,0.037958142060114025,0.0,0.8484933035714286,0.010266156694956702,8.21765149757266,2000,120,False
rate-L4,midpoint-b4-L4-initial-s161803-B,midpoint,4,4,initial,161803,B,epoch400,0.006726855119569717,0.0309406981163694,0.03487726896746542,0.0,0.8571428571428572,0.009213593147962006,8.21765149757266,2000,400,False
rate-L4,midpoint-b4-L4-initial-s271828-A,midpoint,4,4,initial,271828,A,final,2.7266570642233878e-05,7.73319261497818e-05,0.00012834351218771179,0.0,1.0,2.770815645142175e-05,8.25577925145626,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s271828-A,midpoint,4,4,initial,271828,A,best_one_step,1.6593454886587977e-05,7.602406549267471e-05,0.00012712963507510727,0.0,1.0,2.4378558994033542e-05,8.25577925145626,2000,1960,False
rate-L4,midpoint-b4-L4-initial-s271828-A,midpoint,4,4,initial,271828,A,best_rollout,1.6541042916605016e-05,7.548074063379316e-05,0.0001264793536392971,0.0,1.0,2.4302270246092894e-05,8.25577925145626,2000,1970,False
rate-L4,midpoint-b4-L4-initial-s271828-A,midpoint,4,4,initial,271828,A,epoch120,0.008468658860272598,0.03839237242937089,0.042424410581588745,0.0,0.8353794642857143,0.011767343844522991,8.25577925145626,2000,120,False
rate-L4,midpoint-b4-L4-initial-s271828-A,midpoint,4,4,initial,271828,A,epoch400,0.007662009801448095,0.035009399056434624,0.0389084592461586,0.0,0.84375,0.010573531532350683,8.25577925145626,2000,400,False
rate-L4,midpoint-b4-L4-initial-s271828-B,midpoint,4,4,initial,271828,B,final,1.8239911889938264e-05,8.348583584024483e-05,0.00013734714409228675,0.0,1.0,2.6513920128781265e-05,8.166227251291275,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s271828-B,midpoint,4,4,initial,271828,B,best_one_step,1.8239911889938264e-05,8.348583584024483e-05,0.00013734714409228675,0.0,1.0,2.6513920128781265e-05,8.166227251291275,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s271828-B,midpoint,4,4,initial,271828,B,best_rollout,1.8239911889938264e-05,8.348583584024483e-05,0.00013734714409228675,0.0,1.0,2.6513920128781265e-05,8.166227251291275,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s271828-B,midpoint,4,4,initial,271828,B,epoch120,0.008546101266073344,0.03868660736312278,0.04280518569294733,0.0,0.8362165178571428,0.01187545687768402,8.166227251291275,2000,120,False
rate-L4,midpoint-b4-L4-initial-s271828-B,midpoint,4,4,initial,271828,B,epoch400,0.007757281116043465,0.03537897406803576,0.03936916315259279,0.0,0.8470982142857143,0.010706348367728826,8.166227251291275,2000,400,False
rate-L4,midpoint-b4-L4-initial-s31415-A,midpoint,4,4,initial,31415,A,final,1.1078275452064315e-06,0.0001131427270593121,9.904487342282664e-06,0.0,1.0,1.8808596589671332e-06,8.373392187058926,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s31415-A,midpoint,4,4,initial,31415,A,best_one_step,7.994653271459417e-07,0.00011511501361383122,1.0388404007244398e-05,0.0,1.0,1.8581441817347142e-06,8.373392187058926,2000,1620,False
rate-L4,midpoint-b4-L4-initial-s31415-A,midpoint,4,4,initial,31415,A,best_rollout,7.197642246470857e-07,0.00011244965571677304,9.642117220209915e-06,0.0,1.0,1.7039395391694028e-06,8.373392187058926,2000,1710,False
rate-L4,midpoint-b4-L4-initial-s31415-A,midpoint,4,4,initial,31415,A,epoch120,0.006740373079353052,0.03108041733503341,0.03442758321762084,0.0,0.8602120535714286,0.009207130806721024,8.373392187058926,2000,120,False
rate-L4,midpoint-b4-L4-initial-s31415-A,midpoint,4,4,initial,31415,A,epoch400,0.005923164957960283,0.02748515270650387,0.030767831951379776,0.0,0.8699776785714286,0.008031667671716697,8.373392187058926,2000,400,False
rate-L4,midpoint-b4-L4-initial-s31415-B,midpoint,4,4,initial,31415,B,final,8.466827661907923e-07,0.00010663394182998132,8.754018656587298e-06,0.0,1.0,1.5654379476267548e-06,8.236662354320288,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s31415-B,midpoint,4,4,initial,31415,B,best_one_step,8.466827661907923e-07,0.00010663394182998132,8.754018656587298e-06,0.0,1.0,1.5654379476267548e-06,8.236662354320288,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s31415-B,midpoint,4,4,initial,31415,B,best_rollout,8.466827661907923e-07,0.00010663394182998132,8.754018656587298e-06,0.0,1.0,1.5654379476267548e-06,8.236662354320288,2000,2000,False
rate-L4,midpoint-b4-L4-initial-s31415-B,midpoint,4,4,initial,31415,B,epoch120,0.006607814238932012,0.03038173156917477,0.03382883978669727,0.0,0.8649553571428572,0.00898458597685128,8.236662354320288,2000,120,False
rate-L4,midpoint-b4-L4-initial-s31415-B,midpoint,4,4,initial,31415,B,epoch400,0.005644915303984288,0.026189099766000402,0.02949027001681146,0.0,0.8755580357142857,0.007622126299963101,8.236662354320288,2000,400,False
rate-L4,midpoint-b4-L4-teacher-s161803-A,midpoint,4,4,teacher,161803,A,final,5.205282948725549e-07,8.010416058823469e-05,4.612491466104986e-06,0.0,1.0,7.789197845194117e-07,8.38456578925252,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s161803-A,midpoint,4,4,teacher,161803,A,best_one_step,5.205282948725549e-07,8.010416058823469e-05,4.612491466104986e-06,0.0,1.0,7.789197845194117e-07,8.38456578925252,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s161803-A,midpoint,4,4,teacher,161803,A,best_rollout,4.872114636622458e-07,7.939327042549851e-05,4.544530384009705e-06,0.0,1.0,7.591150180794966e-07,8.38456578925252,2000,1870,False
rate-L4,midpoint-b4-L4-teacher-s161803-A,midpoint,4,4,teacher,161803,A,epoch120,0.005768655000621704,0.02603044360876084,0.02766933105885982,0.0,0.8897879464285714,0.007424597383279325,8.38456578925252,2000,120,False
rate-L4,midpoint-b4-L4-teacher-s161803-A,midpoint,4,4,teacher,161803,A,epoch400,0.004950596002943223,0.022563774138689045,0.024511491879820827,0.0,0.8984375,0.0063354800980024465,8.38456578925252,2000,400,False
rate-L4,midpoint-b4-L4-teacher-s161803-B,midpoint,4,4,teacher,161803,B,final,1.10463832644649e-06,4.497784306659338e-05,6.318541406501295e-06,0.0,1.0,9.394380478124715e-07,8.309518575668335,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s161803-B,midpoint,4,4,teacher,161803,B,best_one_step,1.10463832644649e-06,4.497784306659338e-05,6.318541406501295e-06,0.0,1.0,9.394380478124715e-07,8.309518575668335,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s161803-B,midpoint,4,4,teacher,161803,B,best_rollout,1.10463832644649e-06,4.497784306659338e-05,6.318541406501295e-06,0.0,1.0,9.394380478124715e-07,8.309518575668335,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s161803-B,midpoint,4,4,teacher,161803,B,epoch120,0.0058083649195290145,0.02624749763358852,0.028017508806838332,0.0,0.8892299107142857,0.007512916120702001,8.309518575668335,2000,120,False
rate-L4,midpoint-b4-L4-teacher-s161803-B,midpoint,4,4,teacher,161803,B,epoch400,0.005308884412049553,0.024255673045083873,0.026599329928991274,0.0,0.8956473214285714,0.006910933553248543,8.309518575668335,2000,400,False
rate-L4,midpoint-b4-L4-teacher-s271828-A,midpoint,4,4,teacher,271828,A,final,1.1659004544511045e-05,4.1728813812369474e-05,7.033759902697059e-05,0.0,1.0,1.381960458073131e-05,8.42846967279911,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s271828-A,midpoint,4,4,teacher,271828,A,best_one_step,1.0316105382179256e-05,4.354461634648036e-05,7.248145266203203e-05,0.0,1.0,1.3366534895931009e-05,8.42846967279911,2000,1960,False
rate-L4,midpoint-b4-L4-teacher-s271828-A,midpoint,4,4,teacher,271828,A,best_rollout,1.0316105382179256e-05,4.354461634648036e-05,7.248145266203203e-05,0.0,1.0,1.3366534895931009e-05,8.42846967279911,2000,1960,False
rate-L4,midpoint-b4-L4-teacher-s271828-A,midpoint,4,4,teacher,271828,A,epoch120,0.006461117252019973,0.029216405004262928,0.03079432621598244,0.0,0.87890625,0.008448413299352394,8.42846967279911,2000,120,False
rate-L4,midpoint-b4-L4-teacher-s271828-A,midpoint,4,4,teacher,271828,A,epoch400,0.005806877418958825,0.026098921895027157,0.027893975377082825,0.0,0.8878348214285714,0.007419534963747495,8.42846967279911,2000,400,False
rate-L4,midpoint-b4-L4-teacher-s271828-B,midpoint,4,4,teacher,271828,B,final,1.0709733603551526e-05,3.837827273329304e-05,6.923790316902888e-05,0.0,1.0,1.3421371409590895e-05,8.479455392807722,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s271828-B,midpoint,4,4,teacher,271828,B,best_one_step,1.6216235114995634e-05,4.14212336469592e-05,7.241169704151612e-05,0.0,1.0,1.516802949518865e-05,8.479455392807722,2000,1940,False
rate-L4,midpoint-b4-L4-teacher-s271828-B,midpoint,4,4,teacher,271828,B,best_rollout,1.3315412301718466e-05,4.0248932278573166e-05,7.103876876110624e-05,0.0,1.0,1.4104967810500263e-05,8.479455392807722,2000,1960,False
rate-L4,midpoint-b4-L4-teacher-s271828-B,midpoint,4,4,teacher,271828,B,epoch120,0.0067347063200217565,0.02991833547245273,0.03166250454639981,0.0,0.8814174107142857,0.008748075912071286,8.479455392807722,2000,120,False
rate-L4,midpoint-b4-L4-teacher-s271828-B,midpoint,4,4,teacher,271828,B,epoch400,0.006472501269324266,0.0285035675144879,0.030450635576881182,0.0,0.8889508928571429,0.008222867300467632,8.479455392807722,2000,400,False
rate-L4,midpoint-b4-L4-teacher-s31415-A,midpoint,4,4,teacher,31415,A,final,7.636758226842962e-07,0.0001208724715979769,1.1241005267947922e-05,0.0,1.0,1.998818335484149e-06,8.381819043308496,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s31415-A,midpoint,4,4,teacher,31415,A,best_one_step,7.634303673357792e-07,0.00012087589857401337,1.1239018931519245e-05,0.0,1.0,1.997978162024813e-06,8.381819043308496,2000,1980,False
rate-L4,midpoint-b4-L4-teacher-s31415-A,midpoint,4,4,teacher,31415,A,best_rollout,7.800020427013088e-07,0.00012177958706161,1.1408096725062931e-05,0.0,1.0,2.023613424569871e-06,8.381819043308496,2000,1700,False
rate-L4,midpoint-b4-L4-teacher-s31415-A,midpoint,4,4,teacher,31415,A,epoch120,0.005308654906644669,0.023597877472639087,0.024823155254125595,0.0,0.9006696428571429,0.0066076602625311995,8.381819043308496,2000,120,False
