candidate_dtype,dt,kind,reference_dt,reference_dtype,reference_resolution,relative_l2,resolution,sample
float32,0.005,float32_vs_float64,,float64,,3.5604872175361636e-07,64,9
float32,0.005,float32_vs_float64,,float64,,2.2831895364955464e-07,64,10
float32,0.005,float32_vs_float64,,float64,,4.608612699280497e-07,64,11
float32,0.005,float32_vs_float64,,float64,,3.85549054343128e-07,64,12
float32,0.005,float32_vs_float64,,float64,,3.016104481533909e-07,64,13
float32,0.005,float32_vs_float64,,float64,,6.60756355718451e-07,64,14
float32,0.005,float32_vs_float64,,float64,,6.722538373417233e-07,64,15
float32,0.005,float32_vs_float64,,float64,,2.4145970807460014e-07,64,16
float32,0.005,float32_vs_float64,,float64,,3.000280091103167e-07,64,17
float32,0.005,float32_vs_float64,,float64,,5.07158235404363e-07,64,18
float32,0.005,float32_vs_float64,,float64,,6.113500315116476e-07,64,19
float32,0.005,production_vs_fine,0.0005,float64,512,0.00020336581371025546,64,0
float32,0.005,production_vs_fine,0.0005,float64,512,2.372031414756569e-07,64,1
float32,0.005,production_vs_fine,0.0005,float64,512,2.616656295134531e-07,64,2
float32,0.005,production_vs_fine,0.0005,float64,512,2.6482009111322313e-07,64,3
float32,0.005,production_vs_fine,0.0005,float64,512,4.328786697210623e-07,64,4
float32,0.005,production_vs_fine,0.0005,float64,512,2.2672526328270015e-07,64,5
float32,0.005,production_vs_fine,0.0005,float64,512,4.906510606456583e-07,64,6
float32,0.005,production_vs_fine,0.0005,float64,512,0.0002521059966303667,64,7
float32,0.005,production_vs_fine,0.0005,float64,512,3.157232557711944e-07,64,8
float32,0.005,production_vs_fine,0.0005,float64,512,3.5604801513662786e-07,64,9
float32,0.005,production_vs_fine,0.0005,float64,512,0.00012217387011194736,64,10
float32,0.005,production_vs_fine,0.0005,float64,512,4.608631124607309e-07,64,11
float32,0.005,production_vs_fine,0.0005,float64,512,0.00021092539605731869,64,12
float32,0.005,production_vs_fine,0.0005,float64,512,3.0161111670441715e-07,64,13
float32,0.005,production_vs_fine,0.0005,float64,512,0.0002764778023089945,64,14
float32,0.005,production_vs_fine,0.0005,float64,512,6.722536715919802e-07,64,15
float32,0.005,production_vs_fine,0.0005,float64,512,2.4146047348567907e-07,64,16
float32,0.005,production_vs_fine,0.0005,float64,512,3.0002746703954394e-07,64,17
float32,0.005,production_vs_fine,0.0005,float64,512,5.071546642794724e-07,64,18
float32,0.005,production_vs_fine,0.0005,float64,512,0.00018056219282126823,64,19
