seed,lag,horizon,composition_depth,a_defect,b_defect,a_over_b_defect,a_lower_defect,a_mse,b_mse,a_over_b_mse
31415,0.3,0.6,2,4.0722996579034554e-08,1.5264127661396287e-05,0.002667888888405,True,6.542368157624878e-05,6.507123909216261e-05,1.005416255922021
31415,0.3,1.2,4,4.7149034620996844e-08,7.420115144896045e-05,0.0006354218728455783,True,0.00013708538492096523,0.00013829386217878437,0.9912615264424618
31415,0.3,2.4,8,4.68748318771528e-08,0.00014930014202718667,0.0003139637460533505,True,0.00024367356400034623,0.0002530173613877196,0.9630705286936612
31415,0.3,4.8,16,4.6082348215126245e-08,5.092613938018076e-05,0.0009048859539716141,True,0.00013393634878866578,0.0001431779944880418,0.9354534491670933
271828,0.025,0.6,24,1.3225373485248326e-07,3.16017923154277e-05,0.004185007405036271,True,6.537675226070405e-05,6.53552274059166e-05,1.0003293516929224
271828,0.025,1.2,48,1.4836041895005536e-07,0.00010348787481007093,0.0014336019482701528,True,0.00015759765604173026,0.00015749931621655833,1.0006243825531072
271828,0.025,2.4,96,1.407945433018476e-07,0.00016676189795816754,0.0008442848457935284,True,0.0002756203717240169,0.0002747512939720309,1.00316314343573
271828,0.025,4.8,192,1.1280789119494372e-07,4.6282170458766814e-05,0.0024373941428577827,True,0.00014605397700506728,0.00014504300807516302,1.0069701321237103
271828,0.05,0.6,12,9.66392348367151e-08,3.0246925518895296e-05,0.0031950101763679895,True,6.537674826745388e-05,6.535356688175398e-05,1.0003547072762202
271828,0.05,1.2,24,1.044945682204812e-07,0.0001013158945397663,0.0010313738895081981,True,0.00015759768741929747,0.0001574877282024545,1.0006982081594422
271828,0.05,2.4,48,9.630514802294599e-08,0.0001650491626605799,0.0005834937086048445,True,0.0002756201135696301,0.0002747438376786704,1.0031894287361036
271828,0.05,4.8,96,8.445058452544174e-08,4.6046295238966195e-05,0.0018340364645444119,True,0.0001460535051194256,0.00014504680538607317,1.006940516412429
271828,0.075,0.6,8,7.812375182880693e-08,2.8881124748636466e-05,0.002705010712316365,True,6.537676356543898e-05,6.535181771027965e-05,1.0003817163169038
271828,0.075,1.2,16,8.273897350585813e-08,9.912347047702497e-05,0.000834706181166604,True,0.00015759772119849913,0.0001574758895941386,1.0007736524281559
271828,0.075,2.4,32,7.98025186210527e-08,0.00016330248456597474,0.0004886791455326096,True,0.0002756202332250268,0.00027473636410491054,1.0032171537357129
271828,0.075,4.8,64,7.295467854828708e-08,4.580068265624959e-05,0.0015928731695079282,True,0.00014605366246200902,0.0001450512939698001,1.006910441573983
271828,0.1,0.6,6,6.859826748306652e-08,2.7507477014410142e-05,0.0024938044098748295,True,6.537676267726056e-05,6.535015763375895e-05,1.0004071152154017
271828,0.1,1.2,12,7.36547865476389e-08,9.692487503798475e-05,0.0007599162394460006,True,0.00015759781875601675,0.00015746425729901148,1.0008482017398503
271828,0.1,2.4,24,7.091791873192754e-08,0.00016155051071109483,0.0004389829435993055,True,0.0002756202895000115,0.00027472907942183156,1.0032439597586666
271828,0.1,4.8,48,6.519284262429537e-08,4.556020903123681e-05,0.0014309162317406865,True,0.00014605364142994404,0.00014505546084819798,1.0068813719656557
271828,0.15,0.6,4,5.8858284801566185e-08,2.4757252830909238e-05,0.0023774158305675205,True,6.537674298812135e-05,6.534675819835911e-05,1.0004588565766526
271828,0.15,1.2,8,6.271698765880629e-08,9.252006645965594e-05,0.0006778744337170845,True,0.00015759773818047051,0.00015744069213496914,1.0009974933631944
271828,0.15,2.4,16,6.124329363088599e-08,0.00015803350771648184,0.00038753359661394593,True,0.0002756202255511653,0.0002747143811347996,1.0032974044264584
271828,0.15,4.8,32,5.854871298893727e-08,4.507432329603489e-05,0.0012989371488598188,True,0.00014605367439912698,0.00014506413342019187,1.0068214034413925
271828,0.2,0.6,3,5.1642317172584384e-08,2.2009303947356784e-05,0.0023463857510489963,True,6.537673711193293e-05,6.534336981189881e-05,1.0005106455349666
271828,0.2,1.2,6,5.551875689735475e-08,8.812036105609877e-05,0.0006300332435316585,True,0.00015759777963353372,0.00015741730302920587,1.0011464851757392
271828,0.2,2.4,12,5.3983671394197685e-08,0.00015452383775027556,0.0003493549744825789,True,0.00027562012817838877,0.0002746997238602944,1.0033505833393646
271828,0.2,4.8,24,5.26572053183294e-08,4.4585404353369995e-05,0.0011810413313959169,True,0.00014605361306507803,0.00014507270481090018,1.0067614942139285
271828,0.3,0.6,2,4.081145218298721e-08,1.6507406421339965e-05,0.0024723115879807843,True,6.537675233886375e-05,6.533662530472384e-05,1.0006141583522683
271828,0.3,1.2,4,4.766136187106529e-08,7.93002218415495e-05,0.0006010243195321432,True,0.00015759775989465652,0.00015737039812790954,1.0014447556176491
271828,0.3,2.4,8,4.616922640032772e-08,0.00014748925133289958,0.00031303451596020827,True,0.00027562021077187637,0.0002746705493166246,1.0034574564241217
271828,0.3,4.8,16,4.544956633267816e-08,4.361229711946635e-05,0.0010421273203789062,True,0.00014605368335196545,0.0001450900079191797,1.0066419145370957
161803,0.025,0.6,24,1.3334761778116544e-07,3.5579589763301556e-05,0.0037478683331730366,True,6.783027149026566e-05,6.781827975999022e-05,1.000176821504731
161803,0.025,1.2,48,1.4767823064421037e-07,0.00011625171811147084,0.001270331596326219,True,0.00017241647954335804,0.0001726732392626218,0.9985130312006643
161803,0.025,2.4,96,1.4203002896007177e-07,0.00018555300016487308,0.0007654418351299684,True,0.0003117297042081191,0.0003087086225832536,1.0097861912621204
161803,0.025,4.8,192,1.112866554464631e-07,4.989525135101758e-05,0.0022304057487064544,True,0.00017675313989684582,0.00017269378628270715,1.0235060780212053
161803,0.05,0.6,12,9.254219543453068e-08,3.4041935762729736e-05,0.002718476295811856,True,6.783027807699682e-05,6.781599861938048e-05,1.000210561783459
161803,0.05,1.2,24,1.0004014217024348e-07,0.00011380659594806275,0.0008790364155685512,True,0.00017241640098575317,0.00017265890602402578,0.9985954675385302
161803,0.05,2.4,48,9.883891433082326e-08,0.00018363054766723508,0.0005382487586429985,True,0.00031172948990842997,0.0003087004563440132,1.009812209545428
161803,0.05,4.8,96,8.576064614018719e-08,4.9628039619165065e-05,0.0017280683822753428,True,0.00017675264504646293,0.00017269850445700285,1.0234752501314766
