cell,seed,n_train,budget,model,primary_mse_gm,primary_relative_l2_gm,extrapolation_mse_gm,stress_mse_gm,energy_monotone_fraction,bound_violation_fraction,selected_epoch,selected_validation_mse,final_validation_mse,training_seconds,evaluation_seconds,reaction_mse_tau015
s271828-n128-k4-A,271828,128,4,A,0.00916714825531885,0.11180295484969123,0.009921454055551617,0.013332203849631255,0.8394252232142857,0.0,67,3.8106984144784896e-05,3.8408306257527634e-05,2.5235674642026424,0.2491258606314659,0.04081498458981514
s271828-n128-k4-B,271828,128,4,B,0.00933795126183131,0.11277403776998471,0.009980557649154167,0.013673027464069537,0.8377511160714286,0.0,67,3.8145481842851346e-05,3.854730099798568e-05,2.526900712400675,0.24175719171762466,0.04143832251429558
s271828-n16-k1-A,271828,16,1,A,0.013104430860037392,0.13422216217104513,0.017131358722054017,0.01687879038916431,0.83984375,0.0,94,7.063313811765208e-05,7.094136966164417e-05,0.7257760837674141,0.08315927907824516,0.04582471773028374
s271828-n16-k1-B,271828,16,1,B,0.019242763417479613,0.16210427597038848,0.0231329707598345,0.024493149464366093,0.7844587053571428,0.0,35,7.800283719916479e-05,8.430772868450731e-05,0.7208903841674328,0.08361997082829475,0.06363090127706528
s271828-n16-k4-A,271828,16,4,A,0.009355241027111074,0.11315559550219088,0.010121419872758235,0.013100611803434102,0.8443080357142857,0.0,70,3.912037755071651e-05,3.952144046100633e-05,2.5591847971081734,0.2430061474442482,0.039680253714323044
s271828-n16-k4-B,271828,16,4,B,0.010659451617699149,0.12108897991555924,0.00820681023818229,0.013546713658129535,0.8503069196428572,0.0,36,4.106508352682189e-05,4.589762920659268e-05,2.5395490042865276,0.24128073453903198,0.038574591279029846
s31415-n128-k1-A,31415,128,1,A,0.010363609394160313,0.11941127187646391,0.014230663673205775,0.014226973629578157,0.8519810267857143,0.0,80,6.427122601356434e-05,6.610643382979713e-05,0.7437343001365662,0.08307541161775589,0.04046063497662544
s31415-n128-k1-B,31415,128,1,B,0.009723167143556666,0.11562903436803876,0.012542326939612497,0.013297365194949494,0.8596540178571428,0.0,83,6.242614957348754e-05,6.41339738649549e-05,0.7289531379938126,0.08340263739228249,0.03773915022611618
s31415-n128-k4-A,31415,128,4,A,0.007978343575741433,0.10438208968089172,0.008676871813089094,0.011576838797021536,0.8498883928571428,0.0,73,3.4867048119243314e-05,3.600814602577884e-05,2.564150482416153,0.24540908634662628,0.03613520413637161
s31415-n128-k4-B,31415,128,4,B,0.007730256136810611,0.10261330692252259,0.007381661603212016,0.011171928137990011,0.8523995535714286,0.0,81,3.3169562584589585e-05,3.394720238247828e-05,2.539198085665703,0.24207304418087006,0.03461548686027527
s31415-n16-k1-A,31415,16,1,A,0.010338383563156153,0.11925317277824767,0.014282894853474021,0.01423249995552937,0.8528180803571428,0.0,29,6.45957725282642e-05,6.701760048599681e-05,0.7760143354535103,0.08289186656475067,0.040516093373298645
s31415-n16-k1-B,31415,16,1,B,0.011639653841087423,0.12604592294607314,0.013650094372611797,0.016016445758229424,0.8324497767857143,0.0,53,6.263056714791067e-05,6.564124062909589e-05,0.7222235426306725,0.08208906278014183,0.04476175829768181
s31415-n16-k4-A,31415,16,4,A,0.008201551351396162,0.10588351021558054,0.008886856153757604,0.011800595117014551,0.8483537946428572,0.0,73,3.5337382845076114e-05,3.655014036970291e-05,2.553035218268633,0.24204132333397865,0.03659987822175026
s31415-n16-k4-B,31415,16,4,B,0.007515212273600377,0.1013521852556941,0.007527341744521171,0.010809178786284065,0.8592354910714286,0.0,52,3.3604908670289056e-05,3.478006495546045e-05,2.526036486029625,0.24791902676224709,0.033348653465509415
