boundary_family,seed,enforcement_mode,temporal_mode,parameter_count,selected_epoch,best_validation_mse,uniform_primary_defect_geometric_mean,primary_nonuniform_defect_geometric_mean,long_rollout_mse_geometric_mean,maximum_hard_boundary_evidence,boundary_stress_final_state_max,hard_boundary_pass,data_cache_sha256,checkpoint_sha256,run_dir
inhomogeneous_dirichlet,31415,penalty,autonomous,1249,150,0.0023182020522654057,9.999999999999965e-17,1.4766995465082845e-07,0.01153059555042094,0.4393194317817688,0.2531399130821228,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,5d9569e4c671377aaf9034a3eceaa83c88d597570a53f4a41ba9856377c02a62,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed31415-inhomogeneous_dirichlet-penalty-autonomous
inhomogeneous_dirichlet,31415,penalty,query_time,1249,150,0.002389422617852688,0.026424288989689855,0.027510206037992507,0.01334202604676111,0.426472008228302,0.23393657803535461,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,9b02ae9907417d401a7008002d8e945df3771613856a863fecfd45479c67500f,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed31415-inhomogeneous_dirichlet-penalty-query_time
inhomogeneous_dirichlet,31415,unconstrained,autonomous,1249,150,0.001263961661607027,9.999999999999965e-17,7.464717400957243e-07,0.005031458239861941,8.747514724731445,0.2907148599624634,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,368b9bf09c4848b4f0c1af73a8159d5fe6ebca560f481014ee5bfd1fdf08c5b0,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed31415-inhomogeneous_dirichlet-unconstrained-autonomous
inhomogeneous_dirichlet,31415,unconstrained,query_time,1249,145,0.0013194992206990719,0.025690349421901428,0.021261036575062536,0.006482389401984346,8.523898124694824,0.27744531631469727,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,d610228e0730c4d9e268c2a2200165f983ae5a56c5448810160e411a449a287e,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed31415-inhomogeneous_dirichlet-unconstrained-query_time
inhomogeneous_dirichlet,161803,hard,autonomous,1249,145,1.91703134078125e-06,9.999999999999965e-17,4.645888520758538e-07,8.842592588121498e-06,0.0,0.0,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,720df2ca9d5fac972ebaee4bb67b71494cccdfaf3bf141b9fac8d10cf8f6cf48,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-inhomogeneous_dirichlet-hard-autonomous
inhomogeneous_dirichlet,161803,hard,query_time,1249,150,8.55223333928734e-06,0.026452982593136283,0.011824072811991505,0.00019402978234633907,0.0,0.0,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,9a3e3327d0336776a3435fd9e4538f6a041d25c2b34214e7e5fa2020ed771615,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-inhomogeneous_dirichlet-hard-query_time
inhomogeneous_dirichlet,161803,penalty,autonomous,1249,150,0.0023192160297185183,9.999999999999965e-17,1.4483461880991697e-07,0.011543645369938186,0.41622859239578247,0.2557123303413391,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,eb009cd633cf11ca671207fca28c5bdf95628f88fd3d9e0394c06bba3b09ed69,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-inhomogeneous_dirichlet-penalty-autonomous
inhomogeneous_dirichlet,161803,penalty,query_time,1249,150,0.0023388026747852564,0.020716173696425345,0.024098407591651386,0.01244851157853394,0.47352996468544006,0.2504889965057373,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,7c9d45d38140a73a779b986e2f12f3b2c551ba9f332e65f026ac5dbf16e37dbb,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-inhomogeneous_dirichlet-penalty-query_time
inhomogeneous_dirichlet,161803,unconstrained,autonomous,1249,145,0.0012958977604284883,9.999999999999965e-17,6.78757234767964e-07,0.005608750113100429,8.051857948303223,0.27833637595176697,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,16975d4eddf577b37bcf5cc92897bc8e7982908be10767a7c8ccfb209321c151,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-inhomogeneous_dirichlet-unconstrained-autonomous
inhomogeneous_dirichlet,161803,unconstrained,query_time,1249,150,0.0013326345942914486,0.02585398532485843,0.019395722935879982,0.006473893744777353,7.247170448303223,0.26325350999832153,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,a3820ba4d4aee796b81e83cfed62acc5f1a9ccf6fbf026f5084e12df7dba7027,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed161803-inhomogeneous_dirichlet-unconstrained-query_time
inhomogeneous_dirichlet,271828,hard,autonomous,1249,140,1.8807494370776112e-06,9.999999999999965e-17,4.6275144236545345e-07,1.7081342259929573e-05,0.0,0.0,True,625b7cf9c7b983b023fb5419193483d5c599d329b20d53fb04598331d6265e07,dd36e0119df6abcda1539cf1dd9d2f6dd6cb0e8ac251a5e31f0de25ccf54ac5b,/work/home/zenghang/semigroup_runs/20260830-boundary-family-wave2-148f494-r1/wave-148f494-r1/cells/seed271828-inhomogeneous_dirichlet-hard-autonomous
