cell,track,seed,n,noise,model,split,nu,horizon,lag,mse,relative_l2,max_state,fraction_abs_gt_1_5,energy_monotone_fraction,energy_max_increase,energy_mean_positive_increase,energy_is_lyapunov_candidate
1,irregular,42,16,0.0,query,test,0.02,0.6,0.24,0.0010852381819859147,0.05614445358514786,1.0861355066299438,0.0,1.0,-0.053804680705070496,0.0,True
1,irregular,42,16,0.0,query,test,0.02,1.2,0.06,0.004763293080031872,0.08874287456274033,1.1407588720321655,0.0,1.0,-0.0028488636016845703,0.0,True
1,irregular,42,16,0.0,query,test,0.02,1.2,0.12,0.0047850171104073524,0.08894501626491547,1.1412055492401123,0.0,1.0,-0.006987094879150391,0.0,True
1,irregular,42,16,0.0,query,test,0.02,1.2,0.24,0.004750586114823818,0.08862443268299103,1.14101243019104,0.0,1.0,-0.0210874080657959,0.0,True
1,irregular,42,16,0.0,query,test,0.02,2.4,0.06,0.012714501470327377,0.12121698260307312,1.1549184322357178,0.0,0.824999988079071,0.006426811218261719,0.0004864182265009731,True
1,irregular,42,16,0.0,query,test,0.02,2.4,0.12,0.012769635766744614,0.12147952616214752,1.155381202697754,0.0,0.8343750238418579,0.01274871826171875,0.0009733503684401512,True
1,irregular,42,16,0.0,query,test,0.02,2.4,0.24,0.012671684846282005,0.12101271003484726,1.1553072929382324,0.0,0.8343750238418579,0.025255799293518066,0.0018598508322611451,True
1,irregular,42,16,0.0,query,test,0.08,0.6,0.06,0.0009159608744084835,0.053262148052453995,1.0723538398742676,0.0,1.0,-0.006209880113601685,0.0,True
1,irregular,42,16,0.0,query,test,0.08,0.6,0.12,0.0009222793160006404,0.05344553664326668,1.0727335214614868,0.0,1.0,-0.013006091117858887,0.0,True
1,irregular,42,16,0.0,query,test,0.08,0.6,0.24,0.000923342420719564,0.05347633361816406,1.0725796222686768,0.0,1.0,-0.024721622467041016,0.0,True
1,irregular,42,16,0.0,query,test,0.08,1.2,0.06,0.0039785695262253284,0.08500310033559799,1.136042833328247,0.0,1.0,-0.0030274391174316406,0.0,True
1,irregular,42,16,0.0,query,test,0.08,1.2,0.12,0.004002914763987064,0.08526277542114258,1.1364939212799072,0.0,1.0,-0.00825047492980957,0.0,True
1,irregular,42,16,0.0,query,test,0.08,1.2,0.24,0.003971853293478489,0.08493132144212723,1.1362817287445068,0.0,1.0,-0.027611732482910156,0.0,True
1,irregular,42,16,0.0,query,test,0.08,2.4,0.06,0.011474283412098885,0.12195335328578949,1.1542022228240967,0.0,0.7749999761581421,0.007140517234802246,0.0007229487528093159,True
1,irregular,42,16,0.0,query,test,0.08,2.4,0.12,0.01152320858091116,0.12221308052539825,1.1546664237976074,0.0,0.7749999761581421,0.014167189598083496,0.0014454952906817198,True
1,irregular,42,16,0.0,query,test,0.08,2.4,0.24,0.011427553370594978,0.12170477211475372,1.1545835733413696,0.0,0.784375011920929,0.026894569396972656,0.002773913322016597,True
1,irregular,42,16,0.0,query,stress,0.005,0.6,0.06,0.003287927247583866,0.07554173469543457,1.1548266410827637,0.0,1.0,-0.02541482448577881,0.0,True
1,irregular,42,16,0.0,query,stress,0.005,0.6,0.12,0.0033011091873049736,0.07569301128387451,1.1552048921585083,0.0,1.0,-0.05639004707336426,0.0,True
1,irregular,42,16,0.0,query,stress,0.005,0.6,0.24,0.003278878517448902,0.07543771713972092,1.155168890953064,0.0,1.0,-0.056504130363464355,0.0,True
1,irregular,42,16,0.0,query,stress,0.005,1.2,0.06,0.00915877241641283,0.10800203680992126,1.1551918983459473,0.0,1.0,-0.0005379915237426758,0.0,True
1,irregular,42,16,0.0,query,stress,0.005,1.2,0.12,0.009192264638841152,0.10819932073354721,1.155639886856079,0.0,1.0,-0.0018846988677978516,0.0,True
1,irregular,42,16,0.0,query,stress,0.005,1.2,0.24,0.009101854637265205,0.10766591876745224,1.155577540397644,0.0,1.0,-0.008360743522644043,0.0,True
1,irregular,42,16,0.0,query,stress,0.005,2.4,0.06,0.015406012535095215,0.12789477407932281,1.1554605960845947,0.0,0.762499988079071,0.0034215450286865234,0.0003486732020974159,True
1,irregular,42,16,0.0,query,stress,0.005,2.4,0.12,0.015461538918316364,0.12812504172325134,1.1559239625930786,0.0,0.762499988079071,0.006792187690734863,0.0006992712733335793,True
1,irregular,42,16,0.0,query,stress,0.005,2.4,0.24,0.01535189338028431,0.12766994535923004,1.1558624505996704,0.0,0.768750011920929,0.012934207916259766,0.001339390524663031,True
1,irregular,42,16,0.0,query,stress,0.02,0.6,0.06,0.0031443494372069836,0.07463861256837845,1.152048110961914,0.0,1.0,-0.01947033405303955,0.0,True
1,irregular,42,16,0.0,query,stress,0.02,0.6,0.12,0.00315744336694479,0.07479385286569595,1.152422547340393,0.0,1.0,-0.04461264610290527,0.0,True
1,irregular,42,16,0.0,query,stress,0.02,0.6,0.24,0.003135127481073141,0.07452908158302307,1.1523716449737549,0.0,1.0,-0.04473245143890381,0.0,True
1,irregular,42,16,0.0,query,stress,0.02,1.2,0.06,0.008661458268761635,0.10709243267774582,1.1541972160339355,0.0,0.987500011920929,0.003581404685974121,1.8710456060944125e-05,True
1,irregular,42,16,0.0,query,stress,0.02,1.2,0.12,0.008695737458765507,0.10730414092540741,1.1546448469161987,0.0,0.9906250238418579,0.006733298301696777,3.4836306440411136e-05,True
1,irregular,42,16,0.0,query,stress,0.02,1.2,0.24,0.008603754453361034,0.10673511028289795,1.1545692682266235,0.0,0.9937499761581421,0.010272860527038574,6.420537829399109e-05,True
1,irregular,42,16,0.0,query,stress,0.02,2.4,0.06,0.014648359268903732,0.12887077033519745,1.1553984880447388,0.0,0.65234375,0.005015969276428223,0.0008579732966609299,True
1,irregular,42,16,0.0,query,stress,0.02,2.4,0.12,0.01470563467592001,0.12912246584892273,1.1558611392974854,0.0,0.653124988079071,0.00992274284362793,0.001720424392260611,True
1,irregular,42,16,0.0,query,stress,0.02,2.4,0.24,0.014599503949284554,0.12865568697452545,1.1557995080947876,0.0,0.668749988079071,0.01882922649383545,0.0033247158862650394,True
1,irregular,42,16,0.0,query,stress,0.08,0.6,0.06,0.0027384627610445023,0.07220979779958725,1.142869234085083,0.0,1.0,-0.00805521011352539,0.0,True
