update,loss,validation_mse,training_seconds
9400,0.00016069560660980642,1.669879150745814e-05,152.78064274042845
9500,0.00016069473349489272,1.5949937193550616e-05,154.54981316626072
9600,0.00016069278353825212,1.6388643383855374e-05,156.31736905872822
9700,0.0001606954901944846,1.3279350277735873e-05,158.08632572367787
9800,0.00016068699187599123,1.7051511448362916e-05,159.85489303991199
9900,0.00016068560944404453,1.647545076681359e-05,161.74655707925558
10000,0.0001606883597560227,1.8549008217716324e-05,163.2159724868834
10100,0.00016068224795162678,1.6466605955750805e-05,164.9199338927865
10200,0.00016067939577624202,1.7429311780035192e-05,166.83756432309747
10300,0.0001606779987923801,1.727010569860323e-05,168.30248046666384
10400,0.00016067593242041767,1.7974140239024123e-05,170.10788618400693
10500,0.00016067465185187757,1.899521010186925e-05,171.57719581574202
10600,0.00016067290562205017,1.827527987590875e-05,173.04566968232393
10700,0.00016067890101112425,2.4118721692521718e-05,174.51446989178658
10800,0.00016066982061602175,1.8343270071070214e-05,176.288638304919
10900,0.0001606788719072938,9.056809976030135e-06,178.29253512993455
11000,0.00016066739044617862,1.907569746288917e-05,179.77020262926817
11100,0.00016066557145677507,1.9028502675136987e-05,181.24885867536068
11200,0.00016066562966443598,2.0163509952944906e-05,182.72838459536433
11300,0.00016066330135799944,1.9953140860617716e-05,184.20607514306903
11400,0.00016090579447336495,6.359800224420242e-05,185.68452951312065
11500,0.000160660914843902,1.9621816206425025e-05,187.39163045957685
11600,0.00016068131662905216,1.4543882522444195e-05,189.1771135032177
11700,0.0001606795412953943,2.6932107376878472e-05,190.961120005697
11800,0.00016065765521489084,2.0519118100157642e-05,192.7454961426556
11900,0.00016065704403445125,1.9642996241941582e-05,194.5308409705758
12000,0.00016065577801782638,2.0587405868369727e-05,196.31424624100327
12100,0.00016065526870079339,2.0407942897776668e-05,198.09936736151576
12200,0.00016067578690126538,2.0446001870109384e-05,199.88856260478497
12300,0.00016065419185906649,2.0194941280320903e-05,201.3731830790639
12400,0.00016065251838881522,2.102527697121041e-05,202.85494329035282
12500,0.0001606530713615939,2.146505678163796e-05,204.3364583812654
12600,0.00016065125237219036,2.1452075044728062e-05,205.81875206530094
12700,0.00016073226288426667,3.209982815641824e-05,207.3018192127347
12800,0.0001606498844921589,2.1690839158242132e-05,208.78389195352793
12900,0.00016065375530160964,1.8188452052224395e-05,210.26683882251382
13000,0.0001606492296559736,2.157072488386388e-05,211.75016847252846
13100,0.00016069519915618002,1.3939745526623481e-05,213.23383724689484
13200,0.00016064761439338326,2.208314704133546e-05,214.71653821319342
13300,0.00016065900854300708,2.773493053275357e-05,216.1981752961874
13400,0.00016064656665548682,2.24003173405633e-05,217.79601119086146
13500,0.0001606891892151907,3.571009419160295e-05,219.5848167128861
13600,0.00016064592637121677,2.25557791799019e-05,221.3740493580699
13700,0.00016064534429460764,2.2612112954426187e-05,223.16405840218067
13800,0.00016068510012701154,4.3689230704510943e-05,224.9526152200997
13900,0.0001606655423529446,2.351871997542697e-05,226.74243164807558
14000,0.000160644092829898,2.2651527977457666e-05,228.5307884849608
14100,0.0001606439909664914,2.2463709550627595e-05,230.32164332270622
14200,0.0001606443984201178,2.4398223319031998e-05,232.26049734652042
14300,0.00016064377268776298,2.1534836872175888e-05,233.7310407422483
14400,0.00016064282681327313,2.337569551802854e-05,235.20153379440308
14500,0.00016064269584603608,2.2746250001612686e-05,236.67192289233208
14600,0.00016066299576777965,3.4514225799408666e-05,238.1439322680235
14700,0.00016064202645793557,2.387998716680049e-05,239.61365504562855
14800,0.00016064540250226855,2.7678550920969043e-05,241.08446975797415
14900,0.00016064148803707212,2.3295389621803763e-05,242.55651788786054
15000,0.00016065621457528323,2.8177127157484667e-05,244.02678121253848
15100,0.00016065048112068325,2.5305843950235487e-05,245.496505420655
15200,0.00016064092051237822,2.4679086789237318e-05,247.26708851382136
15300,0.00016064141527749598,2.2419375787436616e-05,249.04212808981538
15400,0.00016064176452346146,2.108036956326198e-05,250.51622297987342
